order_id,customer_id,order_placement_date,On Time,In Full,On Time In Full,customer_name,city,ontime_target%,infull_target%,otif_target%,date,mmm_yy,week_no,days_for_delivery,total_order_qty,total_delivery_qty,volume_fill_rate
FMR32103503,789103,2022-03-01,100,0,0,Vijay Stores,Vadodara,92,67,62,01-Mar-22,Mar 22,10,1,545,467,85.68807339449542
FMR34103403,789103,2022-03-01,100,0,0,Vijay Stores,Vadodara,92,67,62,01-Mar-22,Mar 22,10,3,937,846,90.2881536819637
FMR32103602,789103,2022-03-01,100,0,0,Vijay Stores,Vadodara,92,67,62,01-Mar-22,Mar 22,10,1,86,77,89.53488372093024
FMR33103602,789103,2022-03-01,100,0,0,Vijay Stores,Vadodara,92,67,62,01-Mar-22,Mar 22,10,2,400,345,86.25
FMR33103401,789103,2022-03-01,100,0,0,Vijay Stores,Vadodara,92,67,62,01-Mar-22,Mar 22,10,2,306,291,95.09803921568627
FMR34903603,789903,2022-03-01,100,0,0,Elite Mart,Vadodara,92,65,60,01-Mar-22,Mar 22,10,3,613,598,97.55301794453507
FMR32903403,789903,2022-03-01,100,0,0,Elite Mart,Vadodara,92,65,60,01-Mar-22,Mar 22,10,1,704,661,93.89204545454545
FMR33903601,789903,2022-03-01,100,0,0,Elite Mart,Vadodara,92,65,60,01-Mar-22,Mar 22,10,2,93,84,90.32258064516128
FMR32903603,789903,2022-03-01,0,0,0,Elite Mart,Vadodara,92,65,60,01-Mar-22,Mar 22,10,1,128,115,89.84375
FMR32702601,789702,2022-03-01,100,0,0,Sorefoz Mart,Ahmedabad,89,66,59,01-Mar-22,Mar 22,10,1,600,557,92.83333333333333
FMR34702502,789702,2022-03-01,100,0,0,Sorefoz Mart,Ahmedabad,89,66,59,01-Mar-22,Mar 22,10,3,750,708,94.39999999999999
FMR34702602,789702,2022-03-01,100,0,0,Sorefoz Mart,Ahmedabad,89,66,59,01-Mar-22,Mar 22,10,3,635,587,92.44094488188976
FMR33702302,789702,2022-03-01,100,0,0,Sorefoz Mart,Ahmedabad,89,66,59,01-Mar-22,Mar 22,10,2,38,30,78.94736842105263
FMR34601402,789601,2022-03-01,100,0,0,Info Stores,Surat,92,67,62,01-Mar-22,Mar 22,10,3,596,518,86.91275167785236
FMR33601303,789601,2022-03-01,100,0,0,Info Stores,Surat,92,67,62,01-Mar-22,Mar 22,10,2,69,66,95.65217391304348
FMR32601103,789601,2022-03-01,100,0,0,Info Stores,Surat,92,67,62,01-Mar-22,Mar 22,10,1,310,294,94.83870967741936
FMR33601202,789601,2022-03-01,0,0,0,Info Stores,Surat,92,67,62,01-Mar-22,Mar 22,10,2,411,390,94.8905109489051
FMR32601303,789601,2022-03-01,0,100,0,Info Stores,Surat,92,67,62,01-Mar-22,Mar 22,10,1,95,95,100.0
FMR33301301,789301,2022-03-01,100,0,0,Expression Stores,Surat,89,78,69,01-Mar-22,Mar 22,10,2,92,83,90.21739130434783
FMR34301602,789301,2022-03-01,100,0,0,Expression Stores,Surat,89,78,69,01-Mar-22,Mar 22,10,3,400,391,97.75
FMR32301603,789301,2022-03-01,100,0,0,Expression Stores,Surat,89,78,69,01-Mar-22,Mar 22,10,1,372,359,96.50537634408603
FMR32301302,789301,2022-03-01,0,100,0,Expression Stores,Surat,89,78,69,01-Mar-22,Mar 22,10,1,29,29,100.0
FMR34301103,789301,2022-03-01,0,100,0,Expression Stores,Surat,89,78,69,01-Mar-22,Mar 22,10,3,351,351,100.0
FMR33203603,789203,2022-03-01,100,0,0,Rel Fresh,Vadodara,92,76,70,01-Mar-22,Mar 22,10,2,778,704,90.48843187660668
FMR32203101,789203,2022-03-01,0,0,0,Rel Fresh,Vadodara,92,76,70,01-Mar-22,Mar 22,10,1,409,389,95.11002444987776
FMR32203402,789203,2022-03-01,100,100,100,Rel Fresh,Vadodara,92,76,70,01-Mar-22,Mar 22,10,1,552,552,100.0
FMR34203601,789203,2022-03-01,100,100,100,Rel Fresh,Vadodara,92,76,70,01-Mar-22,Mar 22,10,3,210,210,100.0
FMR34621103,789621,2022-03-01,100,0,0,Expert Mart,Ahmedabad,92,81,75,01-Mar-22,Mar 22,10,3,357,339,94.9579831932773
FMR33621102,789621,2022-03-01,0,100,0,Expert Mart,Ahmedabad,92,81,75,01-Mar-22,Mar 22,10,2,480,480,100.0
FMR34621601,789621,2022-03-01,0,100,0,Expert Mart,Ahmedabad,92,81,75,01-Mar-22,Mar 22,10,3,390,390,100.0
FMR33621302,789621,2022-03-01,0,100,0,Expert Mart,Ahmedabad,92,81,75,01-Mar-22,Mar 22,10,2,56,56,100.0
FMR33621603,789621,2022-03-01,100,100,100,Expert Mart,Ahmedabad,92,81,75,01-Mar-22,Mar 22,10,2,207,207,100.0
FMR32621103,789621,2022-03-01,100,100,100,Expert Mart,Ahmedabad,92,81,75,01-Mar-22,Mar 22,10,1,431,431,100.0
FMR33101403,789101,2022-03-01,100,0,0,Vijay Stores,Surat,86,80,69,01-Mar-22,Mar 22,10,2,664,632,95.18072289156626
FMR34101201,789101,2022-03-01,0,100,0,Vijay Stores,Surat,86,80,69,01-Mar-22,Mar 22,10,3,489,489,100.0
FMR33101202,789101,2022-03-01,0,100,0,Vijay Stores,Surat,86,80,69,01-Mar-22,Mar 22,10,2,150,150,100.0
FMR34101301,789101,2022-03-01,100,100,100,Vijay Stores,Surat,86,80,69,01-Mar-22,Mar 22,10,3,76,76,100.0
FMR32101601,789101,2022-03-01,100,100,100,Vijay Stores,Surat,86,80,69,01-Mar-22,Mar 22,10,1,1080,1080,100.0
FMR34102602,789102,2022-03-01,100,0,0,Vijay Stores,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,3,1001,981,98.001998001998
FMR32102602,789102,2022-03-01,100,0,0,Vijay Stores,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,1,177,154,87.00564971751412
FMR32102202,789102,2022-03-01,0,100,0,Vijay Stores,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,1,106,106,100.0
FMR32102102,789102,2022-03-01,100,100,100,Vijay Stores,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,1,496,496,100.0
FMR33102601,789102,2022-03-01,100,100,100,Vijay Stores,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,2,599,599,100.0
FMR33902203,789902,2022-03-01,100,0,0,Elite Mart,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,2,793,694,87.51576292559899
FMR32902601,789902,2022-03-01,0,0,0,Elite Mart,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,1,93,88,94.6236559139785
FMR34902103,789902,2022-03-01,0,0,0,Elite Mart,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,3,456,410,89.91228070175438
FMR34902102,789902,2022-03-01,0,100,0,Elite Mart,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,3,465,465,100.0
FMR32902402,789902,2022-03-01,100,100,100,Elite Mart,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,1,475,475,100.0
FMR34902202,789902,2022-03-01,100,100,100,Elite Mart,Ahmedabad,90,81,73,01-Mar-22,Mar 22,10,3,311,311,100.0
FMR34201202,789201,2022-03-01,100,0,0,Rel Fresh,Surat,87,81,70,01-Mar-22,Mar 22,10,3,547,528,96.52650822669105
FMR33201602,789201,2022-03-01,100,0,0,Rel Fresh,Surat,87,81,70,01-Mar-22,Mar 22,10,2,712,679,95.36516853932584
FMR34201201,789201,2022-03-01,0,0,0,Rel Fresh,Surat,87,81,70,01-Mar-22,Mar 22,10,3,291,233,80.06872852233677
FMR32201502,789201,2022-03-01,100,100,100,Rel Fresh,Surat,87,81,70,01-Mar-22,Mar 22,10,1,160,160,100.0
FMR33202502,789202,2022-03-01,100,0,0,Rel Fresh,Ahmedabad,85,81,69,01-Mar-22,Mar 22,10,2,877,870,99.2018244013683
FMR32202603,789202,2022-03-01,100,0,0,Rel Fresh,Ahmedabad,85,81,69,01-Mar-22,Mar 22,10,1,1482,1389,93.7246963562753
FMR32202402,789202,2022-03-01,0,100,0,Rel Fresh,Ahmedabad,85,81,69,01-Mar-22,Mar 22,10,1,482,482,100.0
FMR34202301,789202,2022-03-01,100,100,100,Rel Fresh,Ahmedabad,85,81,69,01-Mar-22,Mar 22,10,3,476,476,100.0
FMR34321602,789321,2022-03-01,100,0,0,Chiptec Stores,Ahmedabad,87,81,70,01-Mar-22,Mar 22,10,3,674,637,94.51038575667656
FMR33321602,789321,2022-03-01,100,0,0,Chiptec Stores,Ahmedabad,87,81,70,01-Mar-22,Mar 22,10,2,1171,1121,95.73014517506405
FMR33321601,789321,2022-03-01,0,100,0,Chiptec Stores,Ahmedabad,87,81,70,01-Mar-22,Mar 22,10,2,157,157,100.0
FMR32321103,789321,2022-03-01,0,100,0,Chiptec Stores,Ahmedabad,87,81,70,01-Mar-22,Mar 22,10,1,478,478,100.0
FMR32321201,789321,2022-03-01,100,100,100,Chiptec Stores,Ahmedabad,87,81,70,01-Mar-22,Mar 22,10,1,374,374,100.0
FMR32402602,789402,2022-03-01,100,0,0,Propel Mart,Ahmedabad,89,80,71,01-Mar-22,Mar 22,10,1,395,386,97.72151898734177
FMR34402202,789402,2022-03-01,100,0,0,Propel Mart,Ahmedabad,89,80,71,01-Mar-22,Mar 22,10,3,797,729,91.46800501882058
FMR32402303,789402,2022-03-01,0,0,0,Propel Mart,Ahmedabad,89,80,71,01-Mar-22,Mar 22,10,1,68,54,79.41176470588235
FMR33402203,789402,2022-03-01,0,100,0,Propel Mart,Ahmedabad,89,80,71,01-Mar-22,Mar 22,10,2,491,491,100.0
FMR33402303,789402,2022-03-01,100,100,100,Propel Mart,Ahmedabad,89,80,71,01-Mar-22,Mar 22,10,2,324,324,100.0
FMR32221603,789221,2022-03-01,100,0,0,Atlas Stores,Ahmedabad,85,80,68,01-Mar-22,Mar 22,10,1,828,808,97.58454106280193
FMR33221503,789221,2022-03-01,100,0,0,Atlas Stores,Ahmedabad,85,80,68,01-Mar-22,Mar 22,10,2,106,101,95.28301886792453
FMR32221402,789221,2022-03-01,0,100,0,Atlas Stores,Ahmedabad,85,80,68,01-Mar-22,Mar 22,10,1,384,384,100.0
FMR33221402,789221,2022-03-01,0,100,0,Atlas Stores,Ahmedabad,85,80,68,01-Mar-22,Mar 22,10,2,342,342,100.0
FMR34221301,789221,2022-03-01,100,100,100,Atlas Stores,Ahmedabad,85,80,68,01-Mar-22,Mar 22,10,3,44,44,100.0
FMR32221303,789221,2022-03-01,100,100,100,Atlas Stores,Ahmedabad,85,80,68,01-Mar-22,Mar 22,10,1,42,42,100.0
FMR34703602,789703,2022-03-01,100,0,0,Sorefoz Mart,Vadodara,85,78,66,01-Mar-22,Mar 22,10,3,348,330,94.82758620689656
FMR33703603,789703,2022-03-01,100,100,100,Sorefoz Mart,Vadodara,85,78,66,01-Mar-22,Mar 22,10,2,341,341,100.0
FMR33703303,789703,2022-03-01,100,100,100,Sorefoz Mart,Vadodara,85,78,66,01-Mar-22,Mar 22,10,2,76,76,100.0
FMR32703401,789703,2022-03-01,100,100,100,Sorefoz Mart,Vadodara,85,78,66,01-Mar-22,Mar 22,10,1,726,726,100.0
FMR33401603,789401,2022-03-01,100,0,0,Propel Mart,Surat,85,79,67,01-Mar-22,Mar 22,10,2,1358,1335,98.30633284241532
FMR34401402,789401,2022-03-01,0,100,0,Propel Mart,Surat,85,79,67,01-Mar-22,Mar 22,10,3,468,468,100.0
FMR34401102,789401,2022-03-01,100,100,100,Propel Mart,Surat,85,79,67,01-Mar-22,Mar 22,10,3,823,823,100.0
FMR34401503,789401,2022-03-01,100,100,100,Propel Mart,Surat,85,79,67,01-Mar-22,Mar 22,10,3,565,565,100.0
FMR32401103,789401,2022-03-01,100,100,100,Propel Mart,Surat,85,79,67,01-Mar-22,Mar 22,10,1,476,476,100.0
FMR34622602,789622,2022-03-01,100,0,0,Expert Mart,Vadodara,90,79,71,01-Mar-22,Mar 22,10,3,937,909,97.01173959445038
FMR32622502,789622,2022-03-01,100,0,0,Expert Mart,Vadodara,90,79,71,01-Mar-22,Mar 22,10,1,478,436,91.21338912133892
FMR32622503,789622,2022-03-01,100,0,0,Expert Mart,Vadodara,90,79,71,01-Mar-22,Mar 22,10,1,208,198,95.1923076923077
FMR34622101,789622,2022-03-01,100,0,0,Expert Mart,Vadodara,90,79,71,01-Mar-22,Mar 22,10,3,423,402,95.0354609929078
FMR32622402,789622,2022-03-01,0,0,0,Expert Mart,Vadodara,90,79,71,01-Mar-22,Mar 22,10,1,309,247,79.93527508090615
FMR33622502,789622,2022-03-01,100,100,100,Expert Mart,Vadodara,90,79,71,01-Mar-22,Mar 22,10,2,426,426,100.0
FMR33320501,789320,2022-03-01,100,0,0,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,2,1075,1038,96.55813953488372
FMR33320202,789320,2022-03-01,0,0,0,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,2,209,188,89.95215311004785
FMR34320102,789320,2022-03-01,0,100,0,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,3,432,432,100.0
FMR33320503,789320,2022-03-01,0,100,0,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,2,140,140,100.0
FMR32320202,789320,2022-03-01,0,100,0,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,1,211,211,100.0
FMR32320302,789320,2022-03-01,100,100,100,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,1,401,401,100.0
FMR34320602,789320,2022-03-01,100,100,100,Chiptec Stores,Surat,91,81,74,01-Mar-22,Mar 22,10,3,190,190,100.0
FMR34721503,789721,2022-03-01,100,0,0,Logic Stores,Ahmedabad,89,75,67,01-Mar-22,Mar 22,10,3,580,551,95.0
FMR32721603,789721,2022-03-01,100,0,0,Logic Stores,Ahmedabad,89,75,67,01-Mar-22,Mar 22,10,1,387,364,94.05684754521964
FMR34721502,789721,2022-03-01,0,0,0,Logic Stores,Ahmedabad,89,75,67,01-Mar-22,Mar 22,10,3,186,158,84.94623655913979
FMR34721103,789721,2022-03-01,0,100,0,Logic Stores,Ahmedabad,89,75,67,01-Mar-22,Mar 22,10,3,468,468,100.0
FMR33721603,789721,2022-03-01,100,100,100,Logic Stores,Ahmedabad,89,75,67,01-Mar-22,Mar 22,10,2,747,747,100.0
FMR34122402,789122,2022-03-01,100,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,3,256,205,80.078125
FMR34122102,789122,2022-03-01,0,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,3,443,399,90.06772009029346
